facet_id,x_vox,y_vox,z_vox,normal_x,normal_y,normal_z,persistence_hits_of_5
29,350.55584716796875,398.0,320.0,0.5615164828934872,0.45003743383759176,0.6943814136220837,5
30,335.0391540527344,285.0,388.0,0.5334450832507615,0.35328852765400387,0.7685203701813338,5
31,401.6659851074219,283.0,332.0,0.7147744651983363,0.27038534189959645,0.6449722713313113,5
32,334.28173828125,335.0,366.0,0.5300664487579092,0.3434965822189277,0.7752674750723741,5
33,356.33746337890625,368.0,333.0,0.5741490796944955,0.40616036199518596,0.7109054751722645,5
34,345.5141906738281,365.0,343.0,0.5651742007701194,0.38283963462505965,0.7307612037759035,5
35,308.0708923339844,106.0,470.0,0.503451522342234,0.21744072479090779,0.836215340599353,4
36,341.5406494140625,232.0,405.0,0.5553778240230396,0.29324789768208714,0.7781780921411691,5
38,354.1753845214844,350.0,344.0,0.577970193781621,0.36854242596344233,0.7280981632754034,5
39,325.0177001953125,128.0,453.0,0.5434427001110829,0.24001997306389303,0.8044006739345658,5
40,345.641845703125,269.0,387.0,0.5692480973904375,0.3096050900785027,0.7616438090176071,5
41,367.77532958984375,370.0,322.0,0.6030944016022507,0.4086641874138298,0.6850333748668143,5
42,355.3465270996094,273.0,378.0,0.5657061413475258,0.31109694418586475,0.763672215652704,5
43,357.59423828125,317.0,357.0,0.5858101942494609,0.3317439840573157,0.739440562422152,5
44,362.605224609375,334.0,345.0,0.5982911009263008,0.3395057335258209,0.7257986053000441,5
45,326.08966064453125,207.0,425.0,0.5250787977490121,0.2870963830526787,0.8011666012712473,5
46,348.3824768066406,306.0,369.0,0.5491117341813312,0.3433791670260516,0.7619495068814377,5
47,353.18701171875,235.0,395.0,0.5868762091264563,0.28247715973945525,0.758803643498692,5
48,367.11297607421875,302.0,356.0,0.5961424458082537,0.30390202288830487,0.743140461009996,5
50,344.37750244140625,249.0,396.0,0.570474239576967,0.3088356864311403,0.7610385409200296,5
51,332.3036804199219,179.0,431.0,0.5359131646818416,0.29729704307820176,0.7901971577382769,5
52,360.36370849609375,294.0,365.0,0.5948046779003827,0.331464563623045,0.7323514444650235,5
53,324.35015869140625,191.0,432.0,0.5280929223293074,0.2976243909642482,0.7953223166043139,4
54,337.8162841796875,196.0,421.0,0.5589536732257501,0.2982490691990853,0.7737042612712695,5
55,333.7634582519531,114.0,451.0,0.5558206831433359,0.2060156282689632,0.8053700572401608,5
56,379.22845458984375,388.0,300.0,0.635403951165136,0.3989502225119479,0.6611357945243931,5
57,355.1783142089844,256.0,385.0,0.5876883585263234,0.325086645100346,0.7409055718713669,5
58,329.2994384765625,144.0,445.0,0.5535636151170444,0.25351956701847794,0.7932812572835136,4
59,352.85888671875,153.0,425.0,0.587737608311036,0.25183501860019236,0.7688586522784691,5
60,330.72930908203125,162.0,438.0,0.54387775299299,0.2852088430345167,0.789210305086172,5
61,342.2131042480469,209.0,413.0,0.5694213321078996,0.28297293005508534,0.7718067552156466,5
62,365.1809387207031,241.0,383.0,0.6138793470168269,0.2888893576255182,0.7346394260839189,5
63,337.1481018066406,133.0,443.0,0.5617429362932463,0.2526197482060937,0.7877995534023434,5
64,370.26617431640625,320.0,345.0,0.6100810198790382,0.356361564971763,0.7076775990479199,5
65,343.0843811035156,104.0,447.0,0.5725671934879454,0.21773558954020042,0.7904163598945299,5
66,374.2171325683594,290.0,355.0,0.6161587425396582,0.3045536826642936,0.7263576655942745,5
67,385.8271179199219,340.0,321.0,0.6563184737514851,0.36706605557881444,0.6591726419188919,5
68,376.657958984375,353.0,323.0,0.623795126981246,0.36682800901382806,0.6901571207756986,5
69,374.0787658691406,336.0,334.0,0.6226983147909333,0.34298955943791365,0.703281572965706,5
70,351.3616638183594,220.0,402.0,0.57989185404291,0.306970339972788,0.7546486917709904,5
71,366.2484130859375,261.0,374.0,0.6136081577839069,0.30734712810385934,0.7273395160084112,5
72,381.9500732421875,369.0,309.0,0.6663443361840137,0.3865216055303235,0.6376411797349251,4
73,387.7516784667969,374.0,300.0,0.6547313767041325,0.3898157285708396,0.6475882350057766,5
74,360.241455078125,141.0,423.0,0.5951990107329233,0.2412092670601762,0.7665221634805103,5
75,347.3525390625,182.0,419.0,0.5893947700465123,0.2642095879276495,0.7634180366541785,5
76,346.92059326171875,119.0,440.0,0.5825224508309954,0.21306832380477586,0.7843911547620064,5
77,358.37103271484375,123.0,430.0,0.6002541142793916,0.22099199324544005,0.7686725812802682,5
78,360.2715148925781,204.0,401.0,0.5994816819903914,0.2664901709201976,0.7547216054684635,5
79,380.2102966308594,307.0,342.0,0.6332307367619403,0.35653047112699643,0.6869533151371294,5
81,355.5077209472656,106.0,437.0,0.6026041020448945,0.1983179515518842,0.773006006633151,5
82,382.4190368652344,322.0,333.0,0.6409468737790835,0.3386741530165998,0.6888301119080874,5
83,388.7231750488281,355.0,310.0,0.6670787215163156,0.36873769784011917,0.6473318233268984,5
84,365.1506652832031,156.0,414.0,0.6219276147120456,0.23699982070646097,0.7463491991311378,5
85,369.1938781738281,192.0,398.0,0.6340072292301948,0.27644944126101756,0.7222261001309234,5
86,364.48150634765625,281.0,367.0,0.5887686772271337,0.33101168689626675,0.7374162378564084,4
87,371.6299743652344,208.0,390.0,0.6297319974934033,0.2689160107704221,0.7287810305464123,5
88,371.2929382324219,127.0,418.0,0.6435671579046661,0.22248317763501155,0.7323404597152463,5
89,383.57562255859375,235.0,369.0,0.6569822437883288,0.2971136435149916,0.6928909107385515,5
90,354.9764709472656,168.0,418.0,0.5903596474057683,0.25122894602202567,0.7670459591156185,4
92,367.02716064453125,108.0,427.0,0.6343340781315056,0.17661581304421362,0.7526135342284141,5
93,377.46087646484375,180.0,395.0,0.6402015271540605,0.24957074914141752,0.726537298287294,5
94,366.776123046875,175.0,406.0,0.6213526871288028,0.26286320878061004,0.7381217864738702,5
95,372.4563903808594,146.0,411.0,0.6335846553265481,0.2602457479360252,0.7285894833278601,5
96,383.72198486328125,252.0,362.0,0.6492239945570887,0.2779827043345103,0.7079786868135294,5
97,374.68719482421875,161.0,404.0,0.6406025013137414,0.2402552624479744,0.7293187534793225,5
99,380.3468933105469,133.0,408.0,0.6591547786733084,0.2333835980886146,0.7148755653226329,5
100,380.5609130859375,197.0,386.0,0.6622648428108625,0.2556049642037652,0.7043233492161788,5
101,402.73040771484375,307.0,319.0,0.7106509689103983,0.28497173252815655,0.6432466961023686,4
102,396.09429931640625,340.0,310.0,0.6818175217414777,0.3420011503937927,0.646652982808888,5
103,392.9583740234375,242.0,357.0,0.6883927256047462,0.27835704389230004,0.669800575880619,5
104,385.03924560546875,273.0,352.0,0.6598221120379132,0.2810002921597009,0.6969028743461962,5
105,389.8276062011719,203.0,375.0,0.6743918924068368,0.2685898251909004,0.6877899979353052,5
106,400.2663879394531,293.0,328.0,0.6982504068308222,0.2939351230415149,0.6527239177501931,5
107,387.263427734375,185.0,384.0,0.6648730112621921,0.24786647661068537,0.7046318816713799,5
108,390.7557678222656,288.0,340.0,0.6838206496888793,0.2838957555654149,0.6721551301827733,5
109,384.0439758300781,168.0,393.0,0.6529233647201076,0.24992729991712373,0.7150016954935907,5
110,383.024169921875,147.0,401.0,0.6639708577929887,0.2192230441425276,0.7149013616706338,5
111,398.5732116699219,274.0,338.0,0.6931282696669377,0.27850565681670336,0.6648366723561611,5
112,402.2778625488281,230.0,352.0,0.7212367927513591,0.26682107605372163,0.6392370469202071,4
114,385.8140869140625,104.0,411.0,0.6799210371355097,0.19041855950294714,0.7081300413464998,5
115,388.2083435058594,121.0,404.0,0.6830690031059271,0.21033222172054455,0.6994119626528951,5
116,405.96026611328125,326.0,306.0,0.7183206226291762,0.3239983765398933,0.6156626796429568,5
117,408.25341796875,236.0,343.0,0.712491436500035,0.2475390246226394,0.6565671208665483,5
118,397.4317626953125,209.0,365.0,0.6913894086947343,0.25181234430137045,0.6771788750412948,5
120,394.4587097167969,173.0,381.0,0.6853240336228711,0.2540998640899986,0.682469213963767,5
121,406.5389404296875,215.0,353.0,0.7129907500042233,0.23313413668579866,0.6612810784531662,5
122,398.224853515625,124.0,393.0,0.7106567739968356,0.184615044819582,0.6788845518927901,5
123,399.9427795410156,141.0,386.0,0.7101852715487946,0.20934080621001608,0.6721705936222631,5
124,397.338623046875,190.0,372.0,0.7004494989426205,0.2340246922126407,0.6742424955947307,4
125,393.54327392578125,155.0,388.0,0.6937712887163281,0.2350751531560483,0.6807503737211944,5
126,401.2675476074219,161.0,378.0,0.705971264565911,0.2399306942089315,0.6663616402402144,5
127,405.0640869140625,178.0,368.0,0.729948971404674,0.22787515267895853,0.6443969381808077,5
128,406.14453125,197.0,360.0,0.7173176390908236,0.23906939503512223,0.6544472698443379,5
