region,track,reference_depth,start_depth,stop_depth,length,line_blocked_cv_voxels,quadratic_blocked_cv_voxels,quadratic_minus_line_voxels,quadratic_wins,curvature_rms_voxels,curvature_rms_micrometres,candidate_tilt_degrees,spans_old_outer_to_internal
2,11,19,16,40,25,0.6046698129733306,0.7116013949907011,0.10693158201737052,False,0.24039018202399243,0.2596213965859118,19.692659160578643,False
2,14,19,11,25,15,1.3445606322179822,0.7178356708408008,-0.6267249613771814,True,0.8084220990986031,0.8730958670264913,4.588602159196609,False
2,18,19,15,60,46,0.5862748531879273,0.7861569142027931,0.19988206101486583,False,0.3222752817192022,0.3480573042567384,21.325105669424342,False
2,20,19,12,27,16,1.4768085361294698,1.2501829227772494,-0.22662561335222042,True,0.5527674992827466,0.5969888992253664,13.687180291466126,False
2,22,19,13,60,48,3.324599278928515,2.045232087799772,-1.2793671911287432,True,1.8858114125083107,2.0366763255089757,11.348719070116399,False
2,24,19,13,60,48,1.382127375542136,0.8066355506569101,-0.5754918248852259,True,0.8802339537922438,0.9506526700956234,21.357810821812805,False
2,25,19,16,44,29,0.739389974723543,1.4798307783488946,0.7404408036253517,False,0.05630199927082243,0.060806159212488234,20.246217769736575,False
2,27,19,14,28,15,0.7502794681821824,0.9981167839513952,0.24783731576921286,False,0.22295943578380048,0.24079619064650454,7.5276151124202935,False
2,28,19,14,60,47,0.8298549351819893,0.9568551304443539,0.1270001952623646,False,0.5340429060751167,0.5767663385611261,19.69289777487912,False
2,30,19,13,28,16,1.7420299225385385,0.4401748696506388,-1.3018550528878996,True,1.2777041955024113,1.3799205311426044,21.024263305663215,False
2,36,19,12,26,15,1.193151755273035,0.5686361819636011,-0.624515573309434,True,0.7512982849564693,0.8114021477529869,9.27086649570712,False
2,40,19,16,60,45,1.0085612090379061,0.7603034532585543,-0.24825775577935183,True,0.4509071921674135,0.4869797675408066,23.177317106911396,False
2,45,19,13,60,48,0.9398058355635932,0.8860834581583785,-0.05372237740521468,True,0.6833435979750457,0.7380110858130494,20.56721124665112,False
2,46,19,11,27,17,2.211418226444871,0.5112027412333388,-1.7002154852115323,True,1.3928743481723624,1.5043042960261515,3.5756486006780195,False
2,49,19,7,25,19,1.3026532882719974,2.847331107987389,1.5446778197153914,False,0.7774578240869642,0.8396544500139214,15.10342205747997,True
2,52,19,15,60,46,1.0989491393336823,1.3281595651623985,0.2292104258287162,False,0.3926830018133503,0.42409764195841837,22.566192097724475,False
2,55,19,15,60,46,0.9382772112035502,0.8724920307735455,-0.0657851804300047,True,0.42590611628144154,0.45997860558395687,20.864234807769545,False
2,56,19,10,24,15,1.3087436408080169,0.9716518188092673,-0.33709182199874954,True,0.8120167389722807,0.8769780780900631,10.60599647205925,False
2,59,19,16,60,45,0.8051500269425922,0.7063666283342049,-0.09878339860838725,True,0.35014696620457664,0.3781587235009428,22.704403927725643,False
2,63,19,16,58,43,2.84322042143317,1.5844243821042407,-1.2587960393289295,True,1.546738332043494,1.6704773986069736,11.796051940510162,False
2,70,19,8,27,20,1.5368622302348938,0.7180525456274973,-0.8188096846073964,True,0.8879974834675933,0.9590372821450008,4.690495223250591,True
2,71,19,8,35,28,2.867346833422487,1.3608257737286857,-1.5065210596938012,True,1.4463404308037215,1.5620476652680193,13.575859312874824,True
2,73,19,16,60,45,2.05503591860381,2.0290975535435196,-0.025938365060290458,True,0.9858411560915167,1.064708448578838,16.568423605257063,False
2,76,19,14,60,47,0.8909321068289736,1.1424981129758545,0.25156600614688085,False,0.45424266335914104,0.4905820764278724,22.58053050691271,False
2,82,19,15,34,20,1.1175215664888265,2.0090973209352425,0.891575754446416,False,0.27947155810308766,0.3018292827513347,21.391699414242417,False
2,85,19,16,60,45,3.2100967139961853,1.066997644033068,-2.1430990699631174,True,1.836400053064211,1.9833120573093481,14.703565359942736,False
2,86,19,11,26,16,1.1331997436354084,1.3057255721833316,0.1725258285479232,False,0.6339088449213107,0.6846215525150157,3.450421318073659,False
2,91,19,13,27,15,1.6716036777690297,1.050092618909819,-0.6215110588592108,True,0.9429461563914097,1.0183818489027225,18.561549933051513,False
2,96,19,16,60,45,0.9609493609911164,1.1998150276583177,0.23886566666720133,False,0.3700543345904701,0.3996586813577077,22.49354446767505,False
2,101,19,11,28,18,1.4955599389129914,2.470479118868089,0.9749191799550974,False,0.1610761144866168,0.17396220364554615,6.903639397977221,False
2,107,19,14,60,47,1.1084345623090255,1.0348511047536595,-0.073583457555366,True,0.5648499018699435,0.6100378940195391,21.89280133248276,False
2,108,19,15,60,46,0.5404561014579219,0.6987640721349021,0.15830797067698021,False,0.2331101905440898,0.251759005787617,20.36263165096558,False
2,111,19,15,44,30,0.5942412877164892,0.8605260478308462,0.266284760114357,False,0.34537834302982645,0.37300861047221257,18.69452390259622,False
2,117,19,15,60,46,0.5717345076283968,0.6065923080467264,0.03485780041832953,False,0.2533250186539206,0.27359102014623427,20.64652846446854,False
2,118,19,14,31,18,0.7372092709790852,0.7252468370129775,-0.011962433966107633,True,0.3330357862445783,0.3596786491441446,20.99311237109916,False
2,128,19,15,47,33,0.5051110619283431,0.5362312225064922,0.031120160578149147,False,0.30664714597975573,0.33117891765813623,21.038121145336277,False
2,133,19,15,60,46,0.7071559424287392,0.5665875251660146,-0.14056841726272462,True,0.40970129270992567,0.44247739612671977,22.766493308755244,False
2,135,19,10,24,15,1.1661746305996303,0.8266370712928368,-0.3395375593067935,True,0.9576990068782638,1.034314927428525,6.169208601856371,False
