audit,volume_axis_sigma_vox,surface_threshold,surface_smoothing_sigma_vox,median_normal_change_degrees,p95_normal_change_degrees,maximum_normal_change_degrees,maximum_pairwise_span_degrees,median_adjacent_normal_angle_degrees,p95_adjacent_normal_angle_degrees,spherical_hull_solid_angle_sr,single_hemisphere
threshold_and_surface_smoothing,1.0,55,4.0,0.5628290081340235,1.2825580352689658,5.005967853703062,35.27975852097358,2.0483180314184626,4.037409991434675,0.16054111710892424,True
threshold_and_surface_smoothing,1.0,55,8.0,0.8197032022317241,1.6869244403312884,6.115801372811425,35.86786225817392,1.9398947932237083,3.9136550579429845,0.1664734660087508,True
threshold_and_surface_smoothing,1.0,55,12.0,0.7757833645160981,1.666312806645894,5.896573576552638,34.85036643266657,1.9407266709926736,3.8184444243103153,0.16151910850876994,True
threshold_and_surface_smoothing,1.0,55,15.0,0.8198632359628479,1.5856353588844865,5.6218932845969585,33.699402851761015,1.9483013457895333,3.789954258649223,0.15485618513571933,True
threshold_and_surface_smoothing,1.0,60,1.0,0.5035582630631349,1.3731194420078674,5.834017759268571,38.29611344888633,2.452973064752083,5.218562349419271,0.19535641925100178,True
threshold_and_surface_smoothing,1.0,60,2.0,0.1487148615596532,0.2788075095287529,0.8053973064591247,34.854887983573185,2.2636394223571337,4.626086297599,0.16536066072599437,True
threshold_and_surface_smoothing,1.0,60,4.0,0.5619034951988402,1.2712893576444353,5.031878998418991,35.38663814276697,2.036376558222017,4.025836921719924,0.16097712378625126,True
threshold_and_surface_smoothing,1.0,60,8.0,0.8126508968454087,1.6710812765482714,6.104769712561316,35.766233882960094,1.9318515968540624,3.908291974334352,0.16611041253437808,True
threshold_and_surface_smoothing,1.0,60,12.0,0.7758155824128725,1.6462199664434738,5.883362939549796,34.5925272499912,1.937584819708625,3.817054360216909,0.1609845265926445,True
threshold_and_surface_smoothing,1.0,60,15.0,0.8273456008657304,1.5801077100160252,5.6093076553931,33.40999322419073,1.9444208133563792,3.8349755588951475,0.1544060371017536,True
threshold_and_surface_smoothing,1.0,65,1.0,0.5902467234195389,1.6441651225532825,6.704558149824682,39.74400624698573,2.5411224374292436,5.403777054915468,0.194197273581232,True
threshold_and_surface_smoothing,1.0,65,2.0,0.2288746787614241,0.43944135312256516,1.4295123266262273,34.96656783490568,2.212343613208207,4.616466994811609,0.16393129896489653,True
threshold_and_surface_smoothing,1.0,65,4.0,0.5681045555727735,1.2522698751199723,5.114179245143829,35.52647785522809,2.055030173600538,4.031427259736225,0.1614913895975859,True
threshold_and_surface_smoothing,1.0,65,8.0,0.8069874683422225,1.667308287754731,6.097352578255931,35.851800870852,1.9366089707001457,3.9121691908887715,0.1662682983529833,True
threshold_and_surface_smoothing,1.0,65,12.0,0.7608742695654573,1.6477981684227243,5.869843499267705,34.702649692068135,1.9305534286639237,3.815217050030122,0.16059047515791616,True
threshold_and_surface_smoothing,1.0,65,15.0,0.834094551667061,1.6125209332555936,5.596544414262089,33.528560833376154,1.9427586951094944,3.836221927243912,0.15372940126864182,True
threshold_and_surface_smoothing,1.0,70,1.0,0.6649346028594698,1.8661506714432028,93.58117798594314,120.73875691255495,2.613497813989844,5.6814175125530095,nan,False
threshold_and_surface_smoothing,1.0,70,2.0,0.3276950816440609,0.6351653348214015,9.056198597023348,39.97196726065287,2.275018567503255,5.222241137050965,0.18405444518026456,True
threshold_and_surface_smoothing,1.0,70,4.0,0.5887247883228659,1.2423511708326975,5.208089836318969,35.592675638350016,2.056896376315732,4.040555180843063,0.16176233913722465,True
threshold_and_surface_smoothing,1.0,70,8.0,0.8224573119171961,1.6942349417219742,6.09058794148715,35.909170852929876,1.9386749434912696,3.9117020390992585,0.16655626329912077,True
threshold_and_surface_smoothing,1.0,70,12.0,0.7795604694919418,1.6289692353147718,5.855105826531331,34.75138420445823,1.9234680923346825,3.8142966775573943,0.16081903820430604,True
threshold_and_surface_smoothing,1.0,70,15.0,0.8366851177088781,1.5800925966375488,5.579402108630083,33.56811824974686,1.94340451097259,3.83503698170135,0.15395632848727914,True
volume_axis_smoothing,0.5,50,2.0,0.07857808849952044,0.20100848431250137,0.37185496262993256,34.75516499276658,2.3291605309214374,4.644000442911194,0.1684756986933236,True
volume_axis_smoothing,1.5,50,2.0,0.07197775416083399,0.1763168110215022,0.46648261646322636,34.57310846541006,2.2604006028912798,4.529484486847188,0.16506619794475685,True
volume_axis_smoothing,2.0,50,2.0,0.14522602482904057,0.31792663407853805,0.9921384444986304,34.530850348286535,2.2645431732085974,4.4813811771089584,0.163276604293577,True
