sample,fold,method,mae_intensity,normalised_mae,correlation,centre_error_voxels_affine,centre_error_voxels_translation,centre_error_voxels_outer_only
17,4,global_population,11.181311310516056,0.23790024064927778,0.4344498569685424,4.234854691727046,3.605551275463989,9.219544457292887
17,4,axisymmetric_population,9.729628772610361,0.207013378140646,0.4938979592475541,4.234854691727046,3.605551275463989,9.219544457292887
17,4,nearest_cone,11.243345809020036,0.23922012359617098,0.48422660818916574,4.234854691727046,3.605551275463989,9.219544457292887
17,4,local_population,10.479816133026878,0.2229748113409974,0.4657430856681004,4.234854691727046,3.605551275463989,9.219544457292887
18,4,background,9.300884955752212,0.19789116927132364,0.6163103164062737,4.548941599918759,3.605551275463989,6.708203932499369
18,4,global_population,11.865212792235342,0.2524513360050073,0.4023978537580756,4.548941599918759,3.605551275463989,6.708203932499369
18,4,axisymmetric_population,9.920311803771868,0.21107046391003975,0.5168828647535095,4.548941599918759,3.605551275463989,6.708203932499369
18,4,nearest_cone,12.05398283658522,0.25646771992734513,0.4314762861105312,4.548941599918759,3.605551275463989,6.708203932499369
18,4,local_population,10.88043261464192,0.23149856626897702,0.43824078348003576,4.548941599918759,3.605551275463989,6.708203932499369

