volume,eye,survival_fraction,method,n_repeats,median_repeat_mae_um,p90_repeat_mae_um,median_repeat_normalized_mae
20231107,0,0.4,six_neighbor_surface,25,1.066560795757715,1.1239823459527125,0.037959288434479196
20231107,1,0.01,donor_template,25,3.1011267641521982,4.026642033635206,0.10536763596751217
20231107,1,0.01,nearest_visible_surface,25,3.1341803391946965,3.8418808975700633,0.10557859881991716
20231107,1,0.01,six_neighbor_depth_shared_shape,25,2.758439716798404,3.441597438453042,0.09348590040050495
20231107,1,0.01,six_neighbor_surface,25,2.8323323172315256,3.4618460440179617,0.09397018628386956
20231107,1,0.02,donor_template,25,2.994038364418504,3.306954887639087,0.10108882684886533
20231107,1,0.02,nearest_visible_surface,25,2.823503511025417,3.2435651200853184,0.09367588757151837
20231107,1,0.02,six_neighbor_depth_shared_shape,25,2.2984343504443303,2.685970316973371,0.07937037655462031
20231107,1,0.02,six_neighbor_surface,25,2.289095572374671,2.7540527735744043,0.08023522160350324
20231107,1,0.05,donor_template,25,2.9735229804564614,3.109598440532727,0.10039674649905003
20231107,1,0.05,nearest_visible_surface,25,2.311508646561432,2.5807311756794986,0.0785797709937384
20231107,1,0.05,six_neighbor_depth_shared_shape,25,1.9480820347902645,2.184798373206458,0.06702488189760042
20231107,1,0.05,six_neighbor_surface,25,1.9632533447463691,2.228856190406082,0.06817056697847279
20231107,1,0.1,donor_template,25,2.9768967426920407,3.111616459527605,0.10098460190706332
20231107,1,0.1,nearest_visible_surface,25,2.0084801945109025,2.1738487879105906,0.06954636050631616
20231107,1,0.1,six_neighbor_depth_shared_shape,25,1.7225787193259654,1.8341431234643957,0.05827221294271435
20231107,1,0.1,six_neighbor_surface,25,1.7264383875977107,1.8490744264762018,0.059372406592061035
20231107,1,0.2,donor_template,25,2.9850033382342582,3.0947956880150245,0.1004702858473546
20231107,1,0.2,nearest_visible_surface,25,1.7846681057683615,1.8653487359764687,0.061453812387901076
20231107,1,0.2,six_neighbor_depth_shared_shape,25,1.4560900261821652,1.5267608109885882,0.05058915186614411
20231107,1,0.2,six_neighbor_surface,25,1.4715462654969933,1.5483187478642357,0.0508574242415024
20231107,1,0.4,donor_template,25,2.9720170154873795,3.1263786422437185,0.09949121411637334
20231107,1,0.4,nearest_visible_surface,25,1.630642505811184,1.727904088406657,0.056441400833385585
20231107,1,0.4,six_neighbor_depth_shared_shape,25,1.2863243027042905,1.3467370392901685,0.044582083395938554
20231107,1,0.4,six_neighbor_surface,25,1.2883359519752668,1.3612235281435747,0.044664686398069364
20240530,0,0.01,donor_template,25,0.6466211048174296,1.0161924381506005,0.03974293266105078
20240530,0,0.01,nearest_visible_surface,25,0.7864393377892991,1.1307908311891346,0.04906460723421719
20240530,0,0.01,six_neighbor_depth_shared_shape,25,0.7238057444517302,1.1668928768332933,0.04499821350074714
20240530,0,0.01,six_neighbor_surface,25,0.7448228378869323,1.2424606613943745,0.04580790325334
20240530,0,0.02,donor_template,25,0.6502529689182256,0.7959127417879637,0.03970167509302048
20240530,0,0.02,nearest_visible_surface,25,0.694637997857489,0.953168710237835,0.04304806394875444
20240530,0,0.02,six_neighbor_depth_shared_shape,25,0.6786765991669452,0.8049223380615891,0.041875950085311885
20240530,0,0.02,six_neighbor_surface,25,0.6813683813993763,0.8587482439143153,0.042308359609800325
20240530,0,0.05,donor_template,25,0.653927929143886,0.6951179086540101,0.04008262817858657
20240530,0,0.05,nearest_visible_surface,25,0.6016175764906148,0.6962830444694015,0.03732038347935969
20240530,0,0.05,six_neighbor_depth_shared_shape,25,0.5712084518777854,0.6553746972461192,0.035756762429596356
20240530,0,0.05,six_neighbor_surface,25,0.5933657621892121,0.6837212605320477,0.03636763543770953
20240530,0,0.1,donor_template,25,0.6566025278215423,0.6832257761396395,0.040228454524810234
20240530,0,0.1,nearest_visible_surface,25,0.5257552186315588,0.57426876821754,0.03292518283117338
20240530,0,0.1,six_neighbor_depth_shared_shape,25,0.5092030419393132,0.5577035801487107,0.03142343226694389
20240530,0,0.1,six_neighbor_surface,25,0.5106565434643985,0.5676506383291775,0.03185847712974127
20240530,0,0.2,donor_template,25,0.6486850339152099,0.6763017299331914,0.039725999619301504
20240530,0,0.2,nearest_visible_surface,25,0.46777601831119575,0.495617101804373,0.02899529764535346
20240530,0,0.2,six_neighbor_depth_shared_shape,25,0.4421742946823471,0.4684150392223838,0.027420940747054735
20240530,0,0.2,six_neighbor_surface,25,0.4461481562056609,0.4734757378221667,0.027498063900626934
20240530,0,0.4,donor_template,25,0.6409547501554339,0.6912139894206399,0.03909421769177627
20240530,0,0.4,nearest_visible_surface,25,0.4296916518096106,0.4537896421612626,0.02654817854891198
20240530,0,0.4,six_neighbor_depth_shared_shape,25,0.3805181961588318,0.40236862249787025,0.023787716901301423
20240530,0,0.4,six_neighbor_surface,25,0.3820357543995423,0.39935463326185094,0.023471608207765074
20240530,1,0.01,donor_template,25,0.733598750054381,0.999184903056332,0.043283937849954046
20240530,1,0.01,nearest_visible_surface,25,0.9325136731363476,1.0811100884403255,0.05657288780410286
20240530,1,0.01,six_neighbor_depth_shared_shape,25,0.8309274604110383,1.2015214755524577,0.04914548431799215
20240530,1,0.01,six_neighbor_surface,25,0.8679610455105804,1.2218249959126803,0.0511071201545127
20240530,1,0.02,donor_template,25,0.7232711309207918,0.9032445209335381,0.043229922227602795
20240530,1,0.02,nearest_visible_surface,25,0.8387199005633303,0.9182157753007522,0.051228041253343175
20240530,1,0.02,six_neighbor_depth_shared_shape,25,0.8045954622643879,1.078834517490939,0.04847781511409228
20240530,1,0.02,six_neighbor_surface,25,0.854176742273879,1.0988879548204855,0.051389800883967114
20240530,1,0.05,donor_template,25,0.720583825102783,0.8153843644523067,0.04209529068615697
20240530,1,0.05,nearest_visible_surface,25,0.6539062309880201,0.7148166811961543,0.04054337266935994
20240530,1,0.05,six_neighbor_depth_shared_shape,25,0.658208543675473,0.7232804335222471,0.039668622224663504
20240530,1,0.05,six_neighbor_surface,25,0.6675518078642653,0.7561126469333419,0.03970226160443895
20240530,1,0.1,donor_template,25,0.6844470867708082,0.7570355174908819,0.040539548331303146
20240530,1,0.1,nearest_visible_surface,25,0.5764414853341473,0.6101062335534375,0.034894285609220324
20240530,1,0.1,six_neighbor_depth_shared_shape,25,0.5487628444400311,0.5956049199198893,0.03310433815621733
20240530,1,0.1,six_neighbor_surface,25,0.5702459477172164,0.6099766653352853,0.034897355442540086
20240530,1,0.2,donor_template,25,0.6991617546557791,0.7333283461290367,0.040852419686943336
