volume,eye,repeat,survival_fraction,n_distal_graph_nodes,n_potential_donors,n_usable_target_qc_donors,n_resolvable_test_lenses,n_target_qc_test_lenses,prediction_available
20231107,1,21,0.02,810,17,15,784,756,True
20231107,1,21,0.05,810,41,38,760,733,True
20231107,1,21,0.1,810,81,78,720,693,True
20231107,1,21,0.2,810,162,157,639,614,True
20231107,1,21,0.4,810,324,314,479,457,True
20231107,1,22,0.01,810,9,9,792,762,True
20231107,1,22,0.02,810,17,17,784,754,True
20231107,1,22,0.05,810,41,40,760,731,True
20231107,1,22,0.1,810,81,77,720,694,True
20231107,1,22,0.2,810,162,154,640,617,True
20231107,1,22,0.4,810,324,304,482,467,True
20231107,1,23,0.01,810,9,9,792,762,True
20231107,1,23,0.02,810,17,17,784,754,True
20231107,1,23,0.05,810,41,39,760,732,True
20231107,1,23,0.1,810,81,78,720,693,True
20231107,1,23,0.2,810,162,158,639,613,True
20231107,1,23,0.4,810,324,310,480,461,True
20231107,1,24,0.01,810,9,9,792,762,True
20231107,1,24,0.02,810,17,17,784,754,True
20231107,1,24,0.05,810,41,41,760,730,True
20231107,1,24,0.1,810,81,80,720,691,True
20231107,1,24,0.2,810,162,154,639,617,True
20231107,1,24,0.4,810,324,306,481,465,True
20240530,0,0,0.01,791,8,8,783,775,True
20240530,0,0,0.02,791,16,16,775,767,True
20240530,0,0,0.05,791,40,40,751,743,True
20240530,0,0,0.1,791,80,80,711,703,True
20240530,0,0,0.2,791,159,156,632,627,True
20240530,0,0,0.4,791,317,312,474,471,True
20240530,0,1,0.01,791,8,8,783,775,True
20240530,0,1,0.02,791,16,16,775,767,True
20240530,0,1,0.05,791,40,40,751,743,True
20240530,0,1,0.1,791,80,80,711,703,True
20240530,0,1,0.2,791,159,159,632,624,True
20240530,0,1,0.4,791,317,314,474,469,True
20240530,0,2,0.01,791,8,7,783,776,True
20240530,0,2,0.02,791,16,15,775,768,True
20240530,0,2,0.05,791,40,38,751,745,True
20240530,0,2,0.1,791,80,78,711,705,True
20240530,0,2,0.2,791,159,156,632,627,True
20240530,0,2,0.4,791,317,314,474,469,True
20240530,0,3,0.01,791,8,8,783,775,True
20240530,0,3,0.02,791,16,16,775,767,True
20240530,0,3,0.05,791,40,40,751,743,True
20240530,0,3,0.1,791,80,80,711,703,True
20240530,0,3,0.2,791,159,158,632,625,True
20240530,0,3,0.4,791,317,315,474,468,True
20240530,0,4,0.01,791,8,8,783,775,True
20240530,0,4,0.02,791,16,16,775,767,True
20240530,0,4,0.05,791,40,40,751,743,True
20240530,0,4,0.1,791,80,79,711,704,True
20240530,0,4,0.2,791,159,155,632,628,True
20240530,0,4,0.4,791,317,313,474,470,True
20240530,0,5,0.01,791,8,8,783,775,True
20240530,0,5,0.02,791,16,16,775,767,True
20240530,0,5,0.05,791,40,40,751,743,True
20240530,0,5,0.1,791,80,80,711,703,True
20240530,0,5,0.2,791,159,159,632,624,True
20240530,0,5,0.4,791,317,313,474,470,True
20240530,0,6,0.01,791,8,8,783,775,True
20240530,0,6,0.02,791,16,16,775,767,True
20240530,0,6,0.05,791,40,39,751,744,True
20240530,0,6,0.1,791,80,79,711,704,True
20240530,0,6,0.2,791,159,158,632,625,True
20240530,0,6,0.4,791,317,315,474,468,True
20240530,0,7,0.01,791,8,8,783,775,True
20240530,0,7,0.02,791,16,16,775,767,True
20240530,0,7,0.05,791,40,39,751,744,True
20240530,0,7,0.1,791,80,79,711,704,True
20240530,0,7,0.2,791,159,158,632,625,True
20240530,0,7,0.4,791,317,314,474,469,True
20240530,0,8,0.01,791,8,8,783,775,True
20240530,0,8,0.02,791,16,16,775,767,True
20240530,0,8,0.05,791,40,40,751,743,True
20240530,0,8,0.1,791,80,80,711,703,True
20240530,0,8,0.2,791,159,157,632,626,True
20240530,0,8,0.4,791,317,312,474,471,True
20240530,0,9,0.01,791,8,8,783,775,True
20240530,0,9,0.02,791,16,16,775,767,True
20240530,0,9,0.05,791,40,40,751,743,True
20240530,0,9,0.1,791,80,80,711,703,True
20240530,0,9,0.2,791,159,157,632,626,True
20240530,0,9,0.4,791,317,314,474,469,True
20240530,0,10,0.01,791,8,8,783,775,True
20240530,0,10,0.02,791,16,16,775,767,True
20240530,0,10,0.05,791,40,40,751,743,True
20240530,0,10,0.1,791,80,79,711,704,True
20240530,0,10,0.2,791,159,157,632,626,True
20240530,0,10,0.4,791,317,314,474,469,True
20240530,0,11,0.01,791,8,8,783,775,True
20240530,0,11,0.02,791,16,16,775,767,True
20240530,0,11,0.05,791,40,40,751,743,True
20240530,0,11,0.1,791,80,80,711,703,True
20240530,0,11,0.2,791,159,159,632,624,True
20240530,0,11,0.4,791,317,316,474,467,True
20240530,0,12,0.01,791,8,8,783,775,True
20240530,0,12,0.02,791,16,16,775,767,True
20240530,0,12,0.05,791,40,39,751,744,True
20240530,0,12,0.1,791,80,79,711,704,True
20240530,0,12,0.2,791,159,158,632,625,True
20240530,0,12,0.4,791,317,313,474,470,True
20240530,0,13,0.01,791,8,8,783,775,True
20240530,0,13,0.02,791,16,16,775,767,True
20240530,0,13,0.05,791,40,40,751,743,True
20240530,0,13,0.1,791,80,79,711,704,True
20240530,0,13,0.2,791,159,158,632,625,True
20240530,0,13,0.4,791,317,315,474,468,True
20240530,0,14,0.01,791,8,8,783,775,True
20240530,0,14,0.02,791,16,16,775,767,True
20240530,0,14,0.05,791,40,40,751,743,True
20240530,0,14,0.1,791,80,80,711,703,True
20240530,0,14,0.2,791,159,158,632,625,True
20240530,0,14,0.4,791,317,314,474,469,True
20240530,0,15,0.01,791,8,8,783,775,True
20240530,0,15,0.02,791,16,16,775,767,True
20240530,0,15,0.05,791,40,39,751,744,True
20240530,0,15,0.1,791,80,78,711,705,True
20240530,0,15,0.2,791,159,156,632,627,True
20240530,0,15,0.4,791,317,312,474,471,True
20240530,0,16,0.01,791,8,7,783,776,True
20240530,0,16,0.02,791,16,15,775,768,True
20240530,0,16,0.05,791,40,39,751,744,True
20240530,0,16,0.1,791,80,79,711,704,True
20240530,0,16,0.2,791,159,157,632,626,True
20240530,0,16,0.4,791,317,313,474,470,True
20240530,0,17,0.01,791,8,8,783,775,True
20240530,0,17,0.02,791,16,16,775,767,True
20240530,0,17,0.05,791,40,40,751,743,True
20240530,0,17,0.1,791,80,79,711,704,True
20240530,0,17,0.2,791,159,156,632,627,True
20240530,0,17,0.4,791,317,313,474,470,True
20240530,0,18,0.01,791,8,8,783,775,True
20240530,0,18,0.02,791,16,16,775,767,True
20240530,0,18,0.05,791,40,40,751,743,True
20240530,0,18,0.1,791,80,80,711,703,True
20240530,0,18,0.2,791,159,158,632,625,True
20240530,0,18,0.4,791,317,315,474,468,True
20240530,0,19,0.01,791,8,8,783,775,True
20240530,0,19,0.02,791,16,16,775,767,True
20240530,0,19,0.05,791,40,40,751,743,True
20240530,0,19,0.1,791,80,80,711,703,True
20240530,0,19,0.2,791,159,157,632,626,True
20240530,0,19,0.4,791,317,314,474,469,True
20240530,0,20,0.01,791,8,8,783,775,True
20240530,0,20,0.02,791,16,16,775,767,True
20240530,0,20,0.05,791,40,40,751,743,True
20240530,0,20,0.1,791,80,79,711,704,True
20240530,0,20,0.2,791,159,158,632,625,True
20240530,0,20,0.4,791,317,313,474,470,True
20240530,0,21,0.01,791,8,7,783,776,True
20240530,0,21,0.02,791,16,15,775,768,True
20240530,0,21,0.05,791,40,38,751,745,True
20240530,0,21,0.1,791,80,78,711,705,True
20240530,0,21,0.2,791,159,157,632,626,True
20240530,0,21,0.4,791,317,312,474,471,True
20240530,0,22,0.01,791,8,8,783,775,True
20240530,0,22,0.02,791,16,16,775,767,True
20240530,0,22,0.05,791,40,40,751,743,True
20240530,0,22,0.1,791,80,79,711,704,True
20240530,0,22,0.2,791,159,157,632,626,True
20240530,0,22,0.4,791,317,315,474,468,True
20240530,0,23,0.01,791,8,8,783,775,True
20240530,0,23,0.02,791,16,16,775,767,True
20240530,0,23,0.05,791,40,40,751,743,True
20240530,0,23,0.1,791,80,80,711,703,True
20240530,0,23,0.2,791,159,159,632,624,True
20240530,0,23,0.4,791,317,314,474,469,True
20240530,0,24,0.01,791,8,8,783,775,True
20240530,0,24,0.02,791,16,16,775,767,True
20240530,0,24,0.05,791,40,40,751,743,True
20240530,0,24,0.1,791,80,79,711,704,True
20240530,0,24,0.2,791,159,157,632,626,True
20240530,0,24,0.4,791,317,315,474,468,True
20240530,1,0,0.01,801,9,9,792,783,True
20240530,1,0,0.02,801,17,17,784,775,True
20240530,1,0,0.05,801,41,41,760,751,True
20240530,1,0,0.1,801,81,81,720,711,True
20240530,1,0,0.2,801,161,161,640,631,True
20240530,1,0,0.4,801,321,319,480,473,True
20240530,1,1,0.01,801,9,8,792,784,True
20240530,1,1,0.02,801,17,16,784,776,True
20240530,1,1,0.05,801,41,39,760,753,True
20240530,1,1,0.1,801,81,77,720,715,True
20240530,1,1,0.2,801,161,157,640,635,True
20240530,1,1,0.4,801,321,314,480,478,True
20240530,1,2,0.01,801,9,9,792,783,True
20240530,1,2,0.02,801,17,17,784,775,True
20240530,1,2,0.05,801,41,40,760,752,True
20240530,1,2,0.1,801,81,80,720,712,True
20240530,1,2,0.2,801,161,160,640,632,True
