volume,eye,repeat,survival_fraction,method,n_test_lenses,median_lens_mae_um,median_normalized_mae
20231107,0,1,0.01,nearest_visible_surface,749,2.571281877638033,0.08979250178271181
20231107,0,1,0.01,six_neighbor_depth_shared_shape,749,2.743170377459922,0.09456254228355764
20231107,0,1,0.01,six_neighbor_surface,749,2.7422524705232627,0.09501760882474847
20231107,0,1,0.02,donor_template,742,3.135651866797886,0.10680206550908693
20231107,0,1,0.02,nearest_visible_surface,742,2.5698475875671765,0.08949766172708551
20231107,0,1,0.02,six_neighbor_depth_shared_shape,742,2.760662398452041,0.09408007366142304
20231107,0,1,0.02,six_neighbor_surface,742,2.757672053553418,0.0949364238717566
20231107,0,1,0.05,donor_template,720,3.2460611762194773,0.10776747096208267
20231107,0,1,0.05,nearest_visible_surface,720,2.459304927512596,0.0864092450214543
20231107,0,1,0.05,six_neighbor_depth_shared_shape,720,1.9300423905332913,0.06790915211639054
20231107,0,1,0.05,six_neighbor_surface,720,1.8998145919431058,0.06758396075906321
20231107,0,1,0.1,donor_template,683,3.0381150808052357,0.10208894609217535
20231107,0,1,0.1,nearest_visible_surface,683,1.768771479191946,0.06347544119855868
20231107,0,1,0.1,six_neighbor_depth_shared_shape,683,1.5596310594267444,0.054635653444139176
20231107,0,1,0.1,six_neighbor_surface,683,1.5356968074845114,0.053789180129270496
20231107,0,1,0.2,donor_template,609,2.999672470657103,0.10249542836993757
20231107,0,1,0.2,nearest_visible_surface,609,1.5232327486443518,0.05544285247442063
20231107,0,1,0.2,six_neighbor_depth_shared_shape,609,1.2843413209981005,0.044131569654569255
20231107,0,1,0.2,six_neighbor_surface,609,1.2692442021987755,0.04471015859909779
20231107,0,1,0.4,donor_template,457,3.041427668191551,0.1000381529413386
20231107,0,1,0.4,nearest_visible_surface,457,1.324383676802341,0.04739653092282776
20231107,0,1,0.4,six_neighbor_depth_shared_shape,457,1.0231795478720525,0.037214555034736065
20231107,0,1,0.4,six_neighbor_surface,457,1.0444971043362152,0.03720973080531558
20231107,0,2,0.02,donor_template,744,3.011034881324173,0.09957737692629888
20231107,0,2,0.02,nearest_visible_surface,744,2.7556433501905993,0.09948546094681879
20231107,0,2,0.02,six_neighbor_depth_shared_shape,744,2.2788830384655396,0.08288636051042458
20231107,0,2,0.02,six_neighbor_surface,744,2.288424179182967,0.0831378904827841
20231107,0,2,0.05,donor_template,722,3.0389640466026053,0.10224296150890415
20231107,0,2,0.05,nearest_visible_surface,722,1.9572934082354612,0.07076478893429128
20231107,0,2,0.05,six_neighbor_depth_shared_shape,722,1.7676998086922397,0.06336164703560918
20231107,0,2,0.05,six_neighbor_surface,722,1.8392905050332287,0.06549762838861457
20231107,0,2,0.1,donor_template,685,3.0115945359452794,0.10087930470610736
20231107,0,2,0.1,nearest_visible_surface,685,1.688366841905504,0.061287685262572826
20231107,0,2,0.1,six_neighbor_depth_shared_shape,685,1.5791817345430965,0.057233454600667893
20231107,0,2,0.1,six_neighbor_surface,685,1.5858468002190549,0.05824889694588497
20231107,0,2,0.2,donor_template,607,3.0671464026233246,0.10334323159085504
20231107,0,2,0.2,nearest_visible_surface,607,1.5481958827663445,0.05334274464855186
20231107,0,2,0.2,six_neighbor_depth_shared_shape,607,1.4036009912322276,0.05101366371814655
20231107,0,2,0.2,six_neighbor_surface,607,1.4069519077920924,0.051170665877258596
20231107,0,2,0.4,donor_template,460,3.2524130919292213,0.10777745267544057
20231107,0,2,0.4,nearest_visible_surface,460,1.3894773797538593,0.04876310470988162
20231107,0,2,0.4,six_neighbor_depth_shared_shape,460,1.1181646571632153,0.04227910247654207
20231107,0,2,0.4,six_neighbor_surface,460,1.1416437343202945,0.04279963867766416
20231107,0,3,0.01,donor_template,749,3.4092746655841717,0.11798439829708365
20231107,0,3,0.01,nearest_visible_surface,749,4.046713302333429,0.14221613323284904
20231107,0,3,0.01,six_neighbor_depth_shared_shape,749,2.838225245932382,0.10227471301824607
20231107,0,3,0.01,six_neighbor_surface,749,2.8315123957586197,0.10433181062972643
20231107,0,3,0.02,donor_template,741,4.111164361845175,0.14379997805569755
20231107,0,3,0.02,nearest_visible_surface,741,3.165100520087528,0.11284443523173014
20231107,0,3,0.02,six_neighbor_depth_shared_shape,741,1.9778562345502972,0.0710519157672992
