volume,eye,seed_rank,radius_hops,method,scored_lenses,median_lens_mae_um,p90_lens_mae_um,median_normalized_mae
20231107,1,0,2,same_eye_template,19,6.392207922300541,8.215509712967211,0.18006782361552495
20231107,1,0,2,six_neighbor_depth_shared_shape,19,1.981126927567379,3.833787949786918,0.05771702793197957
20231107,1,0,2,six_neighbor_surface,19,2.03842978739982,3.814486960540532,0.059386456940040334
20231107,1,0,3,axisymmetric_ellipsoid,37,32.4509150424394,35.28911179117659,0.9696374214852252
20231107,1,0,3,graph_harmonic_depth_shared_shape,37,2.24963793437852,4.320960025431316,0.06753306333965989
20231107,1,0,3,nearest_visible_surface,37,3.265800757651895,7.683166837073487,0.09503709480169982
20231107,1,0,3,same_eye_outer_ridge,37,4.623393948617843,7.6295988078162535,0.12179902180818762
20231107,1,0,3,same_eye_template,37,6.01001353180231,8.36963627028593,0.17196329122676537
20231107,1,0,3,six_neighbor_depth_shared_shape,37,2.3226895925997555,6.100446004513636,0.06625279911121848
20231107,1,0,3,six_neighbor_surface,37,2.2913902268712967,5.9911563533576135,0.06662508834065128
20231107,1,1,1,axisymmetric_ellipsoid,7,25.65626817391739,27.22199770388628,0.9792683441138514
20231107,1,1,1,graph_harmonic_depth_shared_shape,7,0.3577968790052565,1.0394598420440053,0.014344921978072956
20231107,1,1,1,nearest_visible_surface,7,0.8239761733365301,1.3690964246154649,0.031011108913362444
20231107,1,1,1,same_eye_outer_ridge,7,0.8778543353264737,1.8954356758685493,0.031320868290615214
20231107,1,1,1,same_eye_template,7,2.5123173805912207,4.154357907354062,0.09479198062093531
20231107,1,1,1,six_neighbor_depth_shared_shape,7,0.47980568400036183,1.299022235538532,0.016298190514544487
20231107,1,1,1,six_neighbor_surface,7,0.48428826303944894,1.2923017755386101,0.016450456170437576
20231107,1,1,2,axisymmetric_ellipsoid,19,24.847552742831013,27.919741251720044,0.9655974922551968
20231107,1,1,2,graph_harmonic_depth_shared_shape,19,0.9697836702406505,2.10479971662553,0.037108104391456564
20231107,1,1,2,nearest_visible_surface,19,1.0649862295118298,2.1956238391498504,0.04117010968117389
20231107,1,1,2,same_eye_outer_ridge,19,2.054948693547214,4.011385534417611,0.07541355126778382
20231107,1,1,2,same_eye_template,19,2.5556559399259333,5.8122876901773655,0.09642718320653722
20231107,1,1,2,six_neighbor_depth_shared_shape,19,1.1305132303245586,2.3722494954016193,0.043085560046978555
20231107,1,1,2,six_neighbor_surface,19,1.1023544220102244,2.366941287285607,0.042484141570925414
20231107,1,1,3,axisymmetric_ellipsoid,37,24.6222616128235,28.635300120530236,0.973417231987151
20231107,1,1,3,graph_harmonic_depth_shared_shape,37,1.1937083037881782,2.5191299603097606,0.042715797688183725
20231107,1,1,3,nearest_visible_surface,37,1.5356138688811138,3.3056282017758685,0.06501024202962949
20231107,1,1,3,same_eye_outer_ridge,37,2.059374530415156,5.8754602553154305,0.07870189731478329
20231107,1,1,3,same_eye_template,37,2.62863833144236,7.772915660323123,0.09918087408004722
20231107,1,1,3,six_neighbor_depth_shared_shape,37,1.4710109000428664,2.885953197413157,0.059582949866087344
20231107,1,1,3,six_neighbor_surface,37,1.478929523970912,2.905053622993663,0.05883187909114804
20231107,1,2,1,axisymmetric_ellipsoid,7,24.74480180801841,26.941253310428525,0.9194856938761861
20231107,1,2,1,graph_harmonic_depth_shared_shape,7,0.35725804483359713,1.3122762989738188,0.013275259337103407
20231107,1,2,1,nearest_visible_surface,7,0.4743253812434899,1.8275527364795967,0.01749708959517288
20231107,1,2,1,same_eye_outer_ridge,7,0.8302124865479246,2.213919208447681,0.03062518438730432
20231107,1,2,1,same_eye_template,7,1.8797906908029627,2.266754685551394,0.0689230297335868
20231107,1,2,1,six_neighbor_depth_shared_shape,7,0.5210477739723711,1.362450392132031,0.019414719183552163
20231107,1,2,1,six_neighbor_surface,7,0.562044687372211,1.3624050623181443,0.020942301875216257
20231107,1,2,2,axisymmetric_ellipsoid,19,25.447306165936993,27.0534415495511,0.9539166864822368
20231107,1,2,2,graph_harmonic_depth_shared_shape,19,0.9873902005953464,1.514772015214384,0.03620292646795463
20231107,1,2,2,nearest_visible_surface,19,0.862427821387038,2.0301614266094825,0.0320467324781411
20231107,1,2,2,same_eye_outer_ridge,19,1.165874993846964,3.2528868341905794,0.0421951113130313
20231107,1,2,2,same_eye_template,19,1.9605067485373582,2.8922809873143827,0.07188250563397511
20231107,1,2,2,six_neighbor_depth_shared_shape,19,0.5962872514666638,1.8361776412187,0.022864102729840914
20231107,1,2,2,six_neighbor_surface,19,0.6048827128722016,1.8680888215922213,0.02319368802971645
20231107,1,2,3,axisymmetric_ellipsoid,37,25.447306165936993,27.206730684068194,0.9539166864822368
20231107,1,2,3,graph_harmonic_depth_shared_shape,37,1.5845504672886817,3.004127063140784,0.06056533766508896
20231107,1,2,3,nearest_visible_surface,37,1.334272098384198,4.212547184188572,0.04791848299087334
20231107,1,2,3,same_eye_outer_ridge,37,2.41594093886405,4.156126329064087,0.0877071679722321
20231107,1,2,3,same_eye_template,37,2.2138181681479594,4.155092835623238,0.08166414104587406
20231107,1,2,3,six_neighbor_depth_shared_shape,37,1.569406614123528,3.7728121956253484,0.06093076749806611
20231107,1,2,3,six_neighbor_surface,37,1.5872809811462993,3.8440566966884853,0.06095750469580791
20231107,1,3,1,axisymmetric_ellipsoid,7,28.51443767308303,31.895055466071938,0.9999128075795417
20231107,1,3,1,graph_harmonic_depth_shared_shape,7,1.2234088909287182,2.1002725769443082,0.04109129046024112
20231107,1,3,1,nearest_visible_surface,7,1.3318357082142036,2.7299666372631863,0.04933053909841417
20231107,1,3,1,same_eye_outer_ridge,7,2.26257642914988,3.6165765265143506,0.07356393890725546
20231107,1,3,1,same_eye_template,7,1.8920447810528254,2.979952639971408,0.07008040741964054
20231107,1,3,1,six_neighbor_depth_shared_shape,7,1.3247011625991993,1.6833983279089713,0.04655829840976368
20231107,1,3,1,six_neighbor_surface,7,1.2504170535852652,1.683358796932093,0.043947489412066304
20231107,1,3,2,axisymmetric_ellipsoid,19,28.272581522682742,32.66810112937651,0.9952316698153234
20231107,1,3,2,graph_harmonic_depth_shared_shape,19,1.1993184365943106,2.435802072422619,0.042167787390565425
20231107,1,3,2,nearest_visible_surface,19,1.4722262895419944,3.6085409434285127,0.045122477295541134
20231107,1,3,2,same_eye_outer_ridge,19,2.50193199612368,6.088983549020006,0.08403373158948137
20231107,1,3,2,same_eye_template,19,2.4972247709095665,4.974023053926547,0.07958304157007544
20231107,1,3,2,six_neighbor_depth_shared_shape,19,1.1479122443126173,2.1613745268096904,0.035435675152353005
20231107,1,3,2,six_neighbor_surface,19,0.9699219609222293,2.1583509869816586,0.03065117312200051
20231107,1,3,3,axisymmetric_ellipsoid,37,28.51443767308303,32.63220971517918,0.9894555974547485
20231107,1,3,3,graph_harmonic_depth_shared_shape,37,1.1960410801957124,2.945924533687274,0.038298455758292695
20231107,1,3,3,nearest_visible_surface,37,2.6351745944745737,4.539210012954365,0.08299044091255772
20231107,1,3,3,same_eye_outer_ridge,37,3.1424528313846882,6.415905194562447,0.10563697593620254
20231107,1,3,3,same_eye_template,37,2.31305690750188,6.002106600109356,0.07941562321312313
