cohort,volume,radius_hops,method,n_eyes,n_patches,n_lenses,median_lens_mae_um,p90_lens_mae_um,median_normalized_mae,median_central_depth_abs_error_um,median_normal_error_degrees,median_target_depth_um
primary_target_qc,20231107,3,nearest_visible_surface,2,16,592,1.8252001142965406,4.6654658219691125,0.06368233887781652,1.8352637875424556,11.053724194569735,29.779088019453727
primary_target_qc,20231107,3,same_eye_outer_ridge,2,16,592,2.778114640065303,6.277143152081015,0.09407764739512578,2.779588454767474,7.541943638806773,29.779088019453727
primary_target_qc,20231107,3,same_eye_template,2,16,592,2.752117542479747,6.912201898372155,0.09200382475724445,2.756086556078973,9.237777951845134,29.779088019453727
primary_target_qc,20231107,3,six_neighbor_depth_shared_shape,2,16,592,1.4877934185176316,3.6900130497603145,0.051204976325911186,1.48225362162664,9.047883009639069,29.779088019453727
primary_target_qc,20231107,3,six_neighbor_surface,2,16,592,1.4972799850960954,3.6840349847878744,0.0510090560460862,1.5061768204573696,8.90323255264151,29.779088019453727
primary_target_qc,20240530,1,axisymmetric_ellipsoid,2,16,112,11.726379612544465,15.650583652817852,0.718073524037224,11.964908052680435,4.866234172419319,16.439507739482835
primary_target_qc,20240530,1,graph_harmonic_depth_shared_shape,2,16,112,0.3024614946594513,0.8413653931240199,0.01852381306403488,0.26342470056780876,3.6811250773261386,16.439507739482835
primary_target_qc,20240530,1,nearest_visible_surface,2,16,112,0.35787109674132067,1.1632838913546493,0.02279318586155415,0.3329100498316251,4.278368376258792,16.439507739482835
primary_target_qc,20240530,1,same_eye_outer_ridge,2,16,112,0.6989578258054059,1.399583522969293,0.04206842268568259,0.6783448238663805,5.407754752426387,16.439507739482835
primary_target_qc,20240530,1,same_eye_template,2,16,112,0.46964378268000245,1.232220343350897,0.02797710032149445,0.4933332326215982,3.8264096791983047,16.439507739482835
primary_target_qc,20240530,1,six_neighbor_depth_shared_shape,2,16,112,0.3226559047713482,0.9285707836254753,0.01957720658195726,0.2759153897714608,3.6811250773261386,16.439507739482835
primary_target_qc,20240530,1,six_neighbor_surface,2,16,112,0.3058504356027325,0.9253671259688766,0.019358469479571268,0.30266061180060433,3.292879567790262,16.439507739482835
primary_target_qc,20240530,2,axisymmetric_ellipsoid,2,16,304,11.815545328287678,15.824428109764158,0.7343222132933707,11.995515223025741,5.226346258180341,16.453704384333946
primary_target_qc,20240530,2,graph_harmonic_depth_shared_shape,2,16,304,0.31755983705655955,0.9734435813650275,0.018964403741203374,0.31365200964102335,3.9644618169848265,16.453704384333946
primary_target_qc,20240530,2,nearest_visible_surface,2,16,304,0.39841069042030164,1.2336102160071565,0.02439738517776088,0.36483440914003396,4.150822392169427,16.453704384333946
primary_target_qc,20240530,2,same_eye_outer_ridge,2,16,304,0.690663520484047,1.6977855432534483,0.041723375120539016,0.685821921810092,5.743974781719395,16.453704384333946
primary_target_qc,20240530,2,same_eye_template,2,16,304,0.4947879782503355,1.4679263016764665,0.0302791276075801,0.4621819369584923,3.998387725884165,16.453704384333946
primary_target_qc,20240530,2,six_neighbor_depth_shared_shape,2,16,304,0.3633055297646159,1.0264204506478094,0.021550273741356766,0.34214052972061904,3.9644618169848265,16.453704384333946
primary_target_qc,20240530,2,six_neighbor_surface,2,16,304,0.3436176328554885,0.9682828362577465,0.020498568347358505,0.3250110987478756,3.3278036372209177,16.453704384333946
primary_target_qc,20240530,3,axisymmetric_ellipsoid,2,16,592,11.688977734617865,15.843388422089497,0.7143234049087923,11.827591982348125,5.44865608702635,16.4909006503999
primary_target_qc,20240530,3,graph_harmonic_depth_shared_shape,2,16,592,0.42757725528924007,1.1141754875042977,0.026290613575012528,0.39997864992782084,4.029292018787199,16.4909006503999
primary_target_qc,20240530,3,nearest_visible_surface,2,16,592,0.4476578945375047,1.4751212587857836,0.0269939808911327,0.4050384991866913,4.877312693466273,16.4909006503999
primary_target_qc,20240530,3,same_eye_outer_ridge,2,16,592,0.704342781502159,1.7663011935522956,0.04302044334501624,0.6823626027520753,5.997682486014099,16.4909006503999
primary_target_qc,20240530,3,same_eye_template,2,16,592,0.5411216868226504,1.562279612985694,0.03303541883660127,0.5300321868951139,4.101105026771137,16.4909006503999
primary_target_qc,20240530,3,six_neighbor_depth_shared_shape,2,16,592,0.4159071488724681,1.222251143271155,0.025382091034299392,0.3817386952522277,4.029292018787199,16.4909006503999
primary_target_qc,20240530,3,six_neighbor_surface,2,16,592,0.4038790285095616,1.2101593684722696,0.025203948140583375,0.3650080944692409,4.419879977413035,16.4909006503999
