cohort,volume,radius_hops,method,n_lens_predictions,median_lens_mae_um,p90_lens_mae_um,median_normalized_mae,median_target_depth_um
primary_target_qc,20231107,3,six_neighbor_depth_shared_shape,409,2.3951516250984564,10.710855723480018,0.08944903827765255,25.365192132863104
primary_target_qc,20231107,3,six_neighbor_surface,409,2.4520304259094807,10.705593311496411,0.0895155229805052,25.365192132863104
primary_target_qc,20240530,1,axisymmetric_ellipsoid,98,12.170874625583206,25.236773294023003,0.8529406082653521,13.611619158588281
primary_target_qc,20240530,1,graph_harmonic_depth_shared_shape,98,1.5486974969786638,5.04800972868795,0.09221242744123961,13.611619158588281
primary_target_qc,20240530,1,nearest_visible_surface,98,1.100984664160312,5.338581757326186,0.07792753537324554,13.611619158588281
primary_target_qc,20240530,1,same_eye_outer_ridge,98,1.2318757819905275,3.3367776483610996,0.08623997868137875,13.611619158588281
primary_target_qc,20240530,1,same_eye_template,98,3.052652823876029,6.392714337688333,0.22678349233487596,13.611619158588281
primary_target_qc,20240530,1,six_neighbor_depth_shared_shape,98,1.4766413309629383,5.215782737035647,0.08752544603972529,13.611619158588281
primary_target_qc,20240530,1,six_neighbor_surface,98,1.3172725066873876,4.674933713218444,0.07708857738201019,13.611619158588281
primary_target_qc,20240530,2,axisymmetric_ellipsoid,248,11.397101027252216,24.239347466409026,0.7937876760303717,15.254931882685401
primary_target_qc,20240530,2,graph_harmonic_depth_shared_shape,248,1.2324184289565732,5.145330550813484,0.07693322133362882,15.254931882685401
primary_target_qc,20240530,2,nearest_visible_surface,248,0.9219796539082009,5.261754183115503,0.060318331382103886,15.254931882685401
primary_target_qc,20240530,2,same_eye_outer_ridge,248,1.2198426382403926,3.3607311279606327,0.08387434103237287,15.254931882685401
primary_target_qc,20240530,2,same_eye_template,248,1.9053978161887755,6.302765000537462,0.11455031379876293,15.254931882685401
primary_target_qc,20240530,2,six_neighbor_depth_shared_shape,248,1.2026559222294797,5.302885511152873,0.0770452432523343,15.254931882685401
primary_target_qc,20240530,2,six_neighbor_surface,248,1.0435124434162764,5.002824999750949,0.06980750816316862,15.254931882685401
primary_target_qc,20240530,3,axisymmetric_ellipsoid,455,11.386102336970442,23.030290303608847,0.7630597034493585,16.07793863154009
primary_target_qc,20240530,3,graph_harmonic_depth_shared_shape,455,1.06374487425826,5.118258640756798,0.06343170749699722,16.07793863154009
primary_target_qc,20240530,3,nearest_visible_surface,455,0.8068593701989727,5.234524388098849,0.05196901889399913,16.07793863154009
primary_target_qc,20240530,3,same_eye_outer_ridge,455,1.0376313802896542,3.1660442053412803,0.06376791117643976,16.07793863154009
primary_target_qc,20240530,3,same_eye_template,455,1.3618780272635493,6.04029967587472,0.07993014739174374,16.07793863154009
primary_target_qc,20240530,3,six_neighbor_depth_shared_shape,455,0.9773361049563031,5.0726683305386935,0.061431690571280326,16.07793863154009
primary_target_qc,20240530,3,six_neighbor_surface,455,0.9590950252146936,4.873532888788908,0.05763514400317435,16.07793863154009
primary_target_qc,20240701,1,axisymmetric_ellipsoid,94,8.929522128719663,24.57406316379392,0.7166942692807639,12.663220279996132
primary_target_qc,20240701,1,graph_harmonic_depth_shared_shape,94,1.7237480656685842,4.526591435199645,0.13371848667303948,12.663220279996132
primary_target_qc,20240701,1,nearest_visible_surface,94,1.5195116073693145,5.017332187472019,0.11136699188027777,12.663220279996132
primary_target_qc,20240701,1,same_eye_outer_ridge,94,1.5466573082951736,2.8890794334636043,0.11273009641428512,12.663220279996132
primary_target_qc,20240701,1,same_eye_template,94,2.664095796212296,4.809241957447199,0.19032148706043872,12.663220279996132
primary_target_qc,20240701,1,six_neighbor_depth_shared_shape,94,1.743021212736229,4.674949550609162,0.1483379408522308,12.663220279996132
primary_target_qc,20240701,1,six_neighbor_surface,94,1.3896861521983672,4.3935166471880045,0.10952396841919222,12.663220279996132
primary_target_qc,20240701,2,axisymmetric_ellipsoid,243,7.525420218994786,23.595022945423402,0.5595557409993702,13.56840088809251
primary_target_qc,20240701,2,graph_harmonic_depth_shared_shape,243,1.330712063440978,4.12917100298918,0.09610331654204222,13.56840088809251
primary_target_qc,20240701,2,nearest_visible_surface,243,0.9643177068677073,3.9522365013628598,0.08020766886362264,13.56840088809251
primary_target_qc,20240701,2,same_eye_outer_ridge,243,1.3411992575809848,2.8158879047031564,0.10385684710451051,13.56840088809251
primary_target_qc,20240701,2,same_eye_template,243,2.0205718279031704,4.679180519669218,0.13816017905358585,13.56840088809251
primary_target_qc,20240701,2,six_neighbor_depth_shared_shape,243,1.4501079696125896,4.083177418434345,0.10352350860568241,13.56840088809251
primary_target_qc,20240701,2,six_neighbor_surface,243,1.2404549063040895,3.7028679161068783,0.09184860225478671,13.56840088809251
primary_target_qc,20240701,3,axisymmetric_ellipsoid,447,7.525420218994786,17.795381493535448,0.5682646594910722,13.73824973105632
primary_target_qc,20240701,3,graph_harmonic_depth_shared_shape,447,1.347384996107049,4.002625776387096,0.09789215461452297,13.73824973105632
primary_target_qc,20240701,3,nearest_visible_surface,447,1.1044698206869634,3.9823822942449887,0.08239795041844242,13.73824973105632
primary_target_qc,20240701,3,same_eye_outer_ridge,447,1.2008944237829287,2.762106338860113,0.08945242500531446,13.73824973105632
primary_target_qc,20240701,3,same_eye_template,447,1.6229537991776624,4.415051136601854,0.1144273833545313,13.73824973105632
primary_target_qc,20240701,3,six_neighbor_depth_shared_shape,447,1.392791788860683,4.127907114699552,0.0971263076155221,13.73824973105632
primary_target_qc,20240701,3,six_neighbor_surface,447,1.3371994304824453,3.9298451843058184,0.09539095653890466,13.73824973105632
all_target_resolvable,20231107,1,axisymmetric_ellipsoid,103,16.78559175571653,26.835282229556324,0.8986968461297871,19.468582568159167
all_target_resolvable,20231107,1,graph_harmonic_depth_shared_shape,103,4.998252837878265,13.534079488102563,0.23472333896502035,19.468582568159167
all_target_resolvable,20231107,1,nearest_visible_surface,103,2.9001883382129456,13.400645946738873,0.16272180048375104,19.468582568159167
all_target_resolvable,20231107,1,same_eye_outer_ridge,103,5.210467650391956,13.56344314597164,0.22007736172915934,19.468582568159167
all_target_resolvable,20231107,1,same_eye_template,103,10.893158769741484,17.92814170148974,0.5677293095320507,19.468582568159167
all_target_resolvable,20231107,1,six_neighbor_depth_shared_shape,103,5.535775836009739,13.563256897528213,0.2585381695745519,19.468582568159167
all_target_resolvable,20231107,1,six_neighbor_surface,103,4.954818690470757,13.40951130696244,0.25082351379086626,19.468582568159167
all_target_resolvable,20231107,2,axisymmetric_ellipsoid,256,21.4650596085009,29.741338047662587,0.9372297938459587,23.053423023589783
all_target_resolvable,20231107,2,graph_harmonic_depth_shared_shape,256,2.8735029559933523,14.594332501979697,0.13053636450178654,23.053423023589783
all_target_resolvable,20231107,2,nearest_visible_surface,256,3.0928254910999367,14.181760340169312,0.14588529287144786,23.053423023589783
all_target_resolvable,20231107,2,same_eye_outer_ridge,256,4.604441090419926,13.68212922182769,0.19654638942391026,23.053423023589783
all_target_resolvable,20231107,2,same_eye_template,256,6.777146308297279,16.928978988837777,0.2865137562629212,23.053423023589783
