lens_id,block,z,x,radius_voxels,method,target_valid,mae_voxels,median_target_thickness_voxels,nonpositive_predicted_thickness_fraction
10,0,313,58,21.18714059638298,frozen_outer_geometry,True,2.584735436170526,20.0,0.0
11,0,313,252,20.644402168654295,outer_ellipsoid,True,12.575809747988739,19.78043260722319,0.0
11,0,313,252,20.644402168654295,frozen_training_template,True,4.002376577976215,19.78043260722319,0.0
11,0,313,252,20.644402168654295,frozen_outer_geometry,True,2.399130906953663,19.78043260722319,0.0
12,0,319,153,20.856570900170723,outer_ellipsoid,True,13.00907107391322,20.160160147952183,0.0
12,0,319,153,20.856570900170723,frozen_training_template,True,3.9533113136949747,20.160160147952183,0.0
12,0,319,153,20.856570900170723,frozen_outer_geometry,True,2.464346696004102,20.160160147952183,0.0
13,0,321,293,20.738929428089712,outer_ellipsoid,True,14.857446030459338,20.27100588152024,0.0
13,0,321,293,20.738929428089712,frozen_training_template,True,4.084293751603701,20.27100588152024,0.0
13,0,321,293,20.738929428089712,frozen_outer_geometry,True,2.023214390451135,20.27100588152024,0.0
14,0,327,333,20.40750434906534,outer_ellipsoid,True,12.016240268291085,21.0,0.0
14,0,327,333,20.40750434906534,frozen_training_template,True,4.160627996338621,21.0,0.0
14,0,327,333,20.40750434906534,frozen_outer_geometry,True,1.8542318355989436,21.0,0.0
15,0,328,372,20.132720094393747,outer_ellipsoid,True,14.570481298023028,21.87497925148992,0.0
15,0,328,372,20.132720094393747,frozen_training_template,True,3.9794712694566865,21.87497925148992,0.0
15,0,328,372,20.132720094393747,frozen_outer_geometry,True,1.6635699593117415,21.87497925148992,0.0
16,0,328,410,20.129580837221,outer_ellipsoid,True,18.264047849261043,21.628216989638958,0.0
16,0,328,410,20.129580837221,frozen_training_template,True,4.443785044188562,21.628216989638958,0.0
16,0,328,410,20.129580837221,frozen_outer_geometry,True,2.4750743060469005,21.628216989638958,0.0
17,1,333,94,20.582150446707494,outer_ellipsoid,True,14.670554567202286,20.04212599453814,0.0
17,1,333,94,20.582150446707494,frozen_training_template,True,4.429065341836278,20.04212599453814,0.0
17,1,333,94,20.582150446707494,frozen_outer_geometry,True,2.7548064796694978,20.04212599453814,0.0
18,1,334,193,21.120311190557466,outer_ellipsoid,True,16.653832002633468,20.086312866643908,0.0
18,1,334,193,21.120311190557466,frozen_training_template,True,4.267048385747184,20.086312866643908,0.0
18,1,334,193,21.120311190557466,frozen_outer_geometry,True,2.416109770710575,20.086312866643908,0.0
19,1,346,233,20.690306508910552,outer_ellipsoid,True,15.1219308144586,20.206714177505035,0.0
19,1,346,233,20.690306508910552,frozen_training_template,True,3.884668169570727,20.206714177505035,0.0
19,1,346,233,20.690306508910552,frozen_outer_geometry,True,1.8746167005463317,20.206714177505035,0.0
20,1,351,131,21.117609816937726,outer_ellipsoid,True,19.942280385623775,20.043534625628695,0.0
20,1,351,131,21.117609816937726,frozen_training_template,True,4.912285816786442,20.043534625628695,0.0
20,1,351,131,21.117609816937726,frozen_outer_geometry,True,3.25644072391254,20.043534625628695,0.0
21,1,355,273,20.57593821403169,outer_ellipsoid,True,16.598051380482676,21.028497749222623,0.0
21,1,355,273,20.57593821403169,frozen_training_template,True,4.351433265419125,21.028497749222623,0.0
21,1,355,273,20.57593821403169,frozen_outer_geometry,True,1.9901917105443236,21.028497749222623,0.0
